v0.6.1,,,,,,,,,,
CÓDIGO,UNIDAD,"MATERIAL BÁSICO","MATERIAL 1","MATERIAL 2","MATERIAL 3",Masa,Masa,Masa,"TOTAL KG","FACTOR DE CALCULO HCE"
P01AD010,t,"Arena de rio p/drenaje 0/6 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AD100,t,"Zahorra natural clasificada IP=0","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AD110,t,"Zahorra natural clasificada IP<6","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AD120,t,"Zahorra natural sin clasificar IP=0","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AD130,t,"Zahorra natural sin clasificar IP<6","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AD200,t,"Árido rodado clasificado < 25 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AD210,t,"Árido rodado clasificado < 40 mm","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AD300,t,"Árido triturado s/c de rio","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AD310,t,"Árido triturado s/c de machaqueo","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AD320,t,"Árido triturado clasificado río","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AD330,t,"Árido triturado clasificado machaqueo","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AE010,t,"Escollera de 50 kg","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AE020,t,"Escollera de 200 kg","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AE030,t,"Escollera de 1000 kg","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AE100,t,"Piedra en rama < 25 kg","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AE200,t,"Piedra para mampostería s/c","PIEDRA NATURAL CORTE SIERRA",,,1000,,,1000,0
P01AE210,t,"Canto rodado sin clasificar","PIEDRA NATURAL CORTE SIERRA",,,1000,,,1000,0
P01AE220,t,"Piedra sin clasificar","PIEDRA NATURAL CORTE SIERRA",,,1000,,,1000,0
P01AE300,t,"Piedra para mampostería careada","PIEDRA NATURAL CORTE SIERRA",,,1000,,,1000,0
P01AE320,t,"Piedra mampostería concertada","PIEDRA NATURAL CORTE SIERRA",,,1000,,,1000,0
P01AF010,t,"Zahorra nat. ZN(50)/ZN(20), IP=0","ARENA Y GRAVA NATURAL",,,1000,,,1000,#VALUE!
P01AF020,t,"Zahorra nat. ZN(50)/ZN(20), IP<6","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AF030,t,"Zahorra artif. ZA(40)/ZA(25) 75%","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AF031,t,"Zahorra artif. ZA(40)/ZA(25) 60%","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AF032,t,"Zahorra artif. ZA(40)/ZA(25) 50%","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AF035,m3,"Albero Alcala Guadaira s/transp.","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AF040,t,"Zahorra artifici. huso Z-3 DA<25","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01AF100,t,"Macadam huso M(60) Desgas. A.<30","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF101,t,"Macadam huso M(50) Desgas. A.<30","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF102,t,"Macadam huso M(40) Desgas. A.<30","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF110,t,"Recebo de macadam huso 0/10 mm","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF200,t,"Árido machaqueo 0/6 D.A.<35","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF201,t,"Árido machaqueo 0/6 D.A.<30","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF210,t,"Árido machaqueo 6/12 D.A.<35","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF211,t,"Árido machaqueo 6/12 D.A.<30","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF220,t,"Árido machaqueo 12/18 D.A.<35","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
P01AF221,t,"Árido machaqueo 12/18 D.A.<30","ARENA Y GRAVA MACHAQUEO",,,1000,,,1000,0
