v0.6.1,,,,,,,,,,
CÓDIGO,UNIDAD,"MATERIAL BÁSICO","MATERIAL 1","MATERIAL 2","MATERIAL 3",Masa,Masa,Masa,"TOTAL KG","FACTOR DE CALCULO HCE"
P01LVR171,mu,"L.cv 24x11,4x3,7 cm Arena HDR","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR180,mu,"L.cv 24x11,4x3,7 cm Sagra HDR","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR190,mu,"L.cv 24x11,4x3,7 cm Siena HDR","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR200,mu,"L.cv 24x11,4x3,7 cm Toledo HDR","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR210,mu,"L.cv 24x11,4x3,7 cm Avellana liso HDR S.Paradores","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR220,mu,"L.cv 24x11,4x3,7 cm Avellana raspado HDR S.Paradores","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR230,mu,"L.cv 24x11,4x3,7 cm Naranja Liso HDR S.Paradores","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR240,mu,"L.cv 24x11,4x3,7 cm Naranja raspado HDR S.Paradores","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR250,mu,"L.cv 24x11,4x3,7 cm Vainilla liso HDR S.Paradores","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVR260,mu,"L.cv 24x11,4x3,7 cm Vainilla raspado HDR S.Paradores","LADRILLO CERAMICO VISTO",,,1110,,,1110,0
P01LVV,,"LADRILLOS CARA VISTA GENÉRICOS",,,,,,,0,0
P01LVV030,mu,"Lad. cv sílico-calcáreo 25x11,5x7,1 cm","MORTERO DE CEMENTO O CAL",,,,,,#VALUE!,0
P01LVV039,mu,"Ladrillo cv rojo liso de 24x11,5x4 cm","LADRILLO CERAMICO VISTO",,,"1259,02",,,"1259,02",0
P01LVV040,mu,"Ladrillo cv rojo liso de 24x11,5x5 cm","LADRILLO CERAMICO VISTO",,,"1573,775",,,"1573,775",0
P01LVV041,mu,"Ladrillo cv rojo liso de 24x11,5x7 cm","LADRILLO CERAMICO VISTO",,,"2203,285",,,"2203,285",0
P01LVV042,mu,"Ladrillo cv rojo raspado de 5","LADRILLO CERAMICO VISTO",,,"1546,405",,,"1546,405",0
P01LVV052,mu,"Ladrillo cv salmón de 5 cm hidrofugado","LADRILLO CERAMICO VISTO",,,"1546,405",,,"1546,405",0
P01LVV100,mu,"Lad. cv sílico-calcáreo 24x11,5x5,2 cm","LADRILLO CERAMICO VISTO",,,"1546,405",,,"1546,405",0
P01LVV108,mu,"Lad. klinker rojo liso grana de 4,8 cm","LADRILLO GRES",,,2000,,,2000,0
P01LVV130,mu,"Ladrillo cv vidriado granilla de 5 cm","LADRILLO CERAMICO VISTO",,,"1701,0455",,,"1701,0455",0
P01LVV140,mu,"Ladrillo cv gero rojo 29x14x5 cm","LADRILLO CERAMICO VISTO",,,"2567,95",,,"2567,95",0
P01LVV150,mu,"Ladrillo cv gero rojo 29x14x6 cm","LADRILLO CERAMICO VISTO",,,"3081,54",,,"3081,54",0
P01LVV153,mu,"Ladrillo cv rústico rojo de 24x11,5x4 cm","LADRILLO CERAMICO VISTO",,,"1685,992",,,"1685,992",0
P01LVV154,mu,"Ladrillo cv rústico rojo de 24x11,5x5 cm","LADRILLO CERAMICO VISTO",,,"1685,992",,,"1685,992",0
P01LVV160,mu,"Ladrillo cv rojo liso de 29x13,8x5 cm","LADRILLO CERAMICO VISTO",,,"2109,3875",,,"2109,3875",0
P01LVV170,mu,"Lad.c/v 24x11,3x5,2 gresificado","LADRILLO CERAMICO VISTO",,,"1769,08732",,,"1769,08732",0
P01LVV180,mu,"Lad.c/v 23,8x11,3x5,2","LADRILLO CERAMICO VISTO",,,"1769,08732",,,"1769,08732",0
P01LW,,VARIOS,,,,,,,0,0
P01LW020,kg,"Pasta agarre interior unión ladrillos",,,,1,0,"0,66666666666667","1,66666666666667",0
P01LW025,m2,"Banda elástica",NEOPRENO,,,"6,2",,,"6,2",0
P01LW030,kg,"Yeso fraguado","YESO NEGRO",,,1,,,1,0
P01LW040,kg,"Limp. fachada Desca 100 piedra",,,,1,,,1,0
P01LW060,kg,"Cemento cola Preocol","MORTERO MIXTO O MORTERO COLA",,,1,#DIV/0!,#DIV/0!,#DIV/0!,0
P01LW070,kg,"Pegamento cola","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01LW080,kg,"Escayola cola","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01LW110,kg,"Adhesivo elástico","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01LW120,m,"Banda elástica de 4 cm","EPS POLIESTIRENO EXPANDIDO",,,"0,012",,,"0,012",0
P01LW130,m,"Banda elástica de 5 cm","EPS POLIESTIRENO EXPANDIDO",,,"0,015",,,"0,015",0
P01LW140,m,"Banda elástica de 6 cm","EPS POLIESTIRENO EXPANDIDO",,,"0,018",,,"0,018",0
P01LW150,m,"Banda elástica de 7 cm","EPS POLIESTIRENO EXPANDIDO",,,"0,021",,,"0,021",0
P01LW160,m,"Banda elástica de 8 cm","EPS POLIESTIRENO EXPANDIDO",,,"0,024",,,"0,024",0
P01LW170,m,"Banda elástica de 9 cm","EPS POLIESTIRENO EXPANDIDO",,,"0,027",,,"0,027",0
P01LW180,m,"Banda elástica de 11 cm","EPS POLIESTIRENO EXPANDIDO",,,"0,033",,,"0,033",0
P01LW185,m,"Banda elástica de 14 cm","EPS POLIESTIRENO EXPANDIDO",,,"0,042",,,"0,042",0
P01LW190,u,"Pieza pasatubos tabique hispaplano",,,,,,,0,0
P01LW200,m2,"Enluc.maestreado de yeso tabiq.hispaplano","ENLUCIDO DE YESO",,,"11,5",,,"11,5",0
P01LW210,m2,"Banda elástica EEPS 9 cm en perímetro","EEPS POLIESTIRENO EXPANDIDO ELASTIFICADO",,,"0,027",,,"0,027",0
P01LW220,m2,"Banda elástica EEPS 11 cm en perímetro","EEPS POLIESTIRENO EXPANDIDO ELASTIFICADO",,,"0,033",,,"0,033",0
P01LW230,m2,"Banda elástica EEPS 9 cm en la base","EEPS POLIESTIRENO EXPANDIDO ELASTIFICADO",,,"0,027",,,"0,027",0
P01LW240,m2,"Banda elástica EEPS 11 cm en la base","EEPS POLIESTIRENO EXPANDIDO ELASTIFICADO",,,"0,033",,,"0,033",0
P01LW250,m2,"Banda elástica EEPS 14 cm en la base","EEPS POLIESTIRENO EXPANDIDO ELASTIFICADO",,,"0,042",,,"0,042",0
P01M,,"MORTEROS PREPARADOS",,,,,,,0,0
P01MC,,"MORTEROS DE CENTRAL",,,,,,,0,0
P01MC005,m3,"Mortero cem. gris II/B-M 32,5 M-20/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC010,m3,"Mortero cem. gris II/B-M 32,5 M-15/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC020,m3,"Mortero cem. gris II/B-M 32,5 M-10/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC030,m3,"Mortero cem. gris II/B-M 32,5 M-7,5/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC040,m3,"Mortero cem. gris II/B-M 32,5 M-5/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC041,m3,"Mortero cem. gris II/B-M 32,5 M-2,5/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC042,m3,"Mortero cem. gris II/B-M 32,5 M-1/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC043,m3,"Mortero cem. gris II/B-P 32,5 N M-2,5/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC045,m3,"Mortero cem. gris II/B-P 32,5 N M-5/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC046,m3,"Mortero cem. gris II/B-P 32,5 M-40/CEM","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC050,m3,"Mortero cem. blanco BL-II 42,5R M-10/BL","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC060,m3,"Mortero cem. blanco BL-II 42,5R M-7,5/BL","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC061,m3,"Mortero cem. blanco BL-II 42,5R M-5/BL","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC080,m3,"Mortero cem. gris II/B-M 32,5+cal M-7,5/CEM-L","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC090,m3,"Mort.cem. gris II/B-M 32,5+cal M-5/CEM-L","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC091,m3,"Mort.cem. gris II/B-M 32,5+cal M-2,5/CEM-L","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC092,m3,"Mort.cem. blanco BL-II/ 42,5 R+cal M-5/BL-L","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC100,m3,"Mortero cemento Agilia Suelo C Base","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC105,m3,"Mortero cemento Agilia Suelo C Plus","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC110,m3,"Mortero cemento Agilia Suelo C Especiales","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MC115,m3,"Mortero anhidrita Agilia Suelo A","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01MD,,"MORTEROS EN SILOS",,,,,,,0,0
P01MD010,t,"Mortero silo cem.gris M-2,5","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD020,t,"Mortero silo cem.gris M-5","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD030,t,"Mortero silo cem.gris M-7,5","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD040,t,"Mortero silo cem.gris M-10","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD050,t,"Mortero silo cem.gris M-15","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD055,t,"Mortero silo cem.gris M-20","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD060,t,"Mortero silo cem.blanco+cal 1/1/8 (M-2,5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD070,t,"Mortero silo cem.blanco+cal 1/1/7 (M-5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD080,t,"Mortero silo cem.blanco+cal 1/1/6 (M-7,5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD090,t,"Mortero silo cem.gris+cal 1/1/7 (M-2,5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD100,t,"Mortero silo cem.gris+cal 1/1/6 (M-5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD110,t,"Mortero silo cem.gris+cal 1/0,5/4 (M-7,5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MD120,u,"Instalación y retirada de silo",,,,,,,0,0
P01MD130,u,"Alquiler silo gravedad/mes",,,,,,,0,0
P01MD140,u,"Alquiler mezcladora/mes",,,,,,,0,0
P01MD150,u,"Alquiler mini-silo/mes",,,,,,,0,0
P01MD160,u,"Alquiler cubilotes/mes",,,,,,,0,0
P01ME,,"MORTEROS ESPECIALES",,,,,,,0,0
P01ME005,kg,"Mortero ignífugo Meyco Fireshield 1350","MORTERO DE CEMENTO O CAL",,,1,,,1,0
P01ME008,kg,"Mortero ignifugo Igniver","MORTERO DE CEMENTO O CAL",,,1,,,1,0
P01ME010,l,"Mortero tixotrópico epoxi","MORTERO MIXTO O MORTERO COLA",,,"1,45",,,"1,45",0
P01ME020,kg,"Mortero resina sintética","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME030,kg,"Mortero cal y arena mármol","MORTERO DE CAL",,,1,,,1,0
P01ME040,kg,"Mortero fraguado rápido","MORTERO DE CEMENTO O CAL",,,1,,,1,0
P01ME050,kg,"Mortero autoadherente","CEMENTO GRIS",,,1,,,1,0
P01ME060,m3,"Mortero de cal desecante","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01ME070,kg,"Mortero de protección Hilti CFS-M RG","CEMENTO GRIS",,,1,,,1,0
P01ME080,m3,"Mortero estabilizado M-5","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01ME090,m3,"Mortero estabilizado M-7,5","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01ME100,m3,"Mortero estabilizado M-10","MORTERO DE CEMENTO O CAL",,,1700,,,1700,0
P01ME150,t,"Mortero recrecido (CT-C5-F2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01ME151,t,"Mort. recrecido CT-C2,5-F2","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01ME165,kg,"Mortero térmico (capa adh.+c.refuerzo)","MORTERO DE CEMENTO O CAL",,,1,,,1,0
P01ME170,t,"Mort. adh. aisl. térmico GP-CSIII-W2","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01ME171,t,"Mortero alta resistencia","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01ME180,t,"M.rev.ext. antibacteriano gris(GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01ME185,t,"M.rev.ext. antibacteriano blanco (GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01ME190,t,"M.res.ext. sulforesistente (GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01ME200,m2,"Mortero lana roca","MORTERO MIXTO O MORTERO COLA",,,"21,75",,,"21,75",0
P01ME220,kg,"Mortero de reparación","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME230,kg,"Mortero consolidante antisal","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME240,kg,"Mortero deshumificante","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME310,kg,"Mortero epoxi E-2","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME320,kg,"Mortero epoxi E-4","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME330,kg,"Mortero acrílico DTR","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME340,kg,"Mortero acrílico DTP","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME350,kg,"Mortero epoxi autonivelante conductivo","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME360,kg,"Mortero de resinas y particulas de caucho","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME370,kg,"Mortero autonivelante","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME380,kg,"Mortero de rodadura","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME390,kg,"Mortero reparación hormigón","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01ME400,kg,"Mortero hidraúlico impermeabilizante","MORTERO MIXTO O MORTERO COLA",,,1,,,1,0
P01MS,,"MORTEROS EN SACOS",,,,,,,0,0
P01MS011,u,"S. mortero 25kg cemento gris (M-5)","MORTERO DE CEMENTO O CAL",,,25,,#DIV/0!,#DIV/0!,0
P01MS030,t,"M sacos cemento gris (M-7, 5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS031,u,"Saco mortero 25kg cemento gris (M-7,5)","MORTERO DE CEMENTO O CAL",,,25,,,25,0
P01MS040,t,"Mor.sac.cem.gris+cal 1/1/7(M-5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS041,u,"Sac.mor.30 kg cem.gris+cal 1/1/7(M-5)","MORTERO DE CEMENTO O CAL",,,30,,,30,0
P01MS050,t,"Mor.sac.cem.gris+cal 1/1/6(M-5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS051,u,"Sac.mor.30 kg cem.gris+cal 1/1/6(M-5)","MORTERO DE CEMENTO O CAL",,,30,,,30,0
P01MS060,t,"M.sac.cem.gris+cal 1/0,5/4(M-10)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS061,u,"Sac.mort.30 kg cem.gris+cal 1/0,5/4(M-7,5)","MORTERO DE CEMENTO O CAL",,,30,,,30,0
P01MS070,t,"M.sac.cem.blanco+cal 1/1/8(M-7,5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS071,u,"Sac.mor.30 kg cem.bla.+cal 1/1/8(M-5)","MORTERO DE CEMENTO O CAL",,,30,,,30,0
P01MS080,t,"M.sac.cem.blanco+cal 1/1/7(M-7,5)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS081,u,"Sac.mort.30 kg cem.bla.+cal 1/1/7(M-7,5)","MORTERO DE CEMENTO O CAL",,,30,,,30,0
P01MS090,t,"M.sac.cem.blanco+cal 1/1/6(M-10)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS091,u,"Sac.mor.30 kg cem.bla.+cal 1/1/6(M-10)","MORTERO DE CEMENTO O CAL",,,30,,,30,0
P01MS100,kg,"Mortero refractario bidón 50 kg","MORTERO DE CEMENTO O CAL",,,1,,,1,0
P01MS110,t,"M.enf.rev.int/ext proyectable blanco (GP-CSIII-W0)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS120,t,"M.enf.rev.int./ext. proyectable gris (GP-CSIII-W0)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS130,t,"M.enf.rev.int./ext. fino blanco (GP-CSIII-W0)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS140,t,"M.enf.rev.int./ext. fino gris (GP-CSIII-W0)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS150,t,"M.enf.rev.ext. proyectable hidrófugo blanco (GP-CSIII-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS160,t,"M.enf.rev.ext. proyectable hidrófugo gris (GP-CSIII-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS170,t,"M.enf.rev.ext. proyectable hidrófugo fino blanco (GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS180,t,"M.enf.rev.ext.proyectable hidrófugo fino gris (GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS210,t,"M.rev.ext.(dec) monocapa (OC-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS215,t,"M.rev.ext. resist.especial 25 gris (GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS230,t,"M.rev.ext. resist.especial 12 gris (GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS235,t,"M.rev.ext. resist.especial 12 blanco (GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01MS240,t,"M.rev.ext.hidrófugo blanco (GP-CSIV-W2)","MORTERO DE CEMENTO O CAL",,,1000,,,1000,0
P01P,,"DERIVADOS DEL PETRÓLEO",,,,,,,0,0
P01PC,,COMBUSTIBLES,,,,,,,0,0
P01PC010,kg,"Fuel-oil pesado 2,7 S tipo 1",DIESEL,,,1,,,1,0
P01PC020,l,Gasóleo,DIESEL,,,,,,0,0
P01PL,,LIGANTES,,,,,,,0,0
P01PL010,t,"Betún B 60/70 a pie de planta",BETUN,,,1000,,,1000,0
P01PL011,t,"Betún B 40/70 a pie de planta",BETUN,,,1000,,,1000,0
P01PL012,t,"Betún B 80/100 a pie de planta",BETUN,,,1000,,,1000,0
P01PL015,t,"Betún multigrado","ADHESIVO BITUMINOSO",,,1000,,,1000,0
P01PL020,t,"Betún modificado BM-1 13/22","ADHESIVO BITUMINOSO",,,1000,,,1000,0
P01PL021,t,"Betún modificado BM-3a 55/70","ADHESIVO BITUMINOSO",,,1000,,,1000,0
P01PL022,t,"Betún modificado BM-3b 55/70","ADHESIVO BITUMINOSO",,,1000,,,1000,0
P01PL023,t,"Betún modificado BM-3c 55/70","ADHESIVO BITUMINOSO",,,1000,,,1000,0
P01PL030,t,"Betun  incoloro pigmentable","ADHESIVO BITUMINOSO",,,1000,,,1000,0
P01PL031,t,"Betun modif.BM-3a 55/70 factoria","ADHESIVO BITUMINOSO",,,1000,,,1000,0
P01PL032,t,"Betun modif.BM-3b 55/70 factoria","ADHESIVO BITUMINOSO",,,1000,,,1000,0
P01PL050,t,"Emulsión asfáltica ECR-1",ASFALTO,,,1000,,,1000,0
P01PL051,t,"Emulsión asfáltica ECR-2",ASFALTO,,,1000,,,1000,0
P01PL052,t,"Emulsión asfáltica ECR-3",ASFALTO,,,1000,,,1000,0
P01PL055,t,"Emulsión asfáltica ECR-1 m",ASFALTO,,,1000,,,1000,0
P01PL056,t,"Emulsión asfáltica ECR-2 m",ASFALTO,,,1000,,,1000,0
P01PL057,t,"Emulsión asfáltica ECR-3 m",ASFALTO,,,1000,,,1000,0
P01PL059,t,"Emulsión asfáltica ECL-1",ASFALTO,,,1000,,,1000,0
P01PL060,t,"Emulsión asfáltica ECL-2",ASFALTO,,,1000,,,1000,0
P01PL061,t,"Emulsión asfáltica ECL-2 Slurry",ASFALTO,,,1000,,,1000,0
P01PL062,t,"Emulsión asfáltica ECL-2 REJUV",ASFALTO,,,1000,,,1000,0
P01PL065,t,"Emulsión asfáltica ECL-2 b.m.",ASFALTO,,,1000,,,1000,0
P01PL066,t,"Emulsión asfáltica ECL-2m(Slurry)",ASFALTO,,,1000,,,1000,0
P01PL070,t,"Emulsión asfáltica ECI",ASFALTO,,,1000,,,1000,0
P01PL090,t,"Emulsión asfáltica ECM (planta)",ASFALTO,,,1000,,,1000,0
P01PL091,t,"Emulsión asfáltica ECM-m.",ASFALTO,,,1000,,,1000,0
P01PL092,t,"Emulsión asfáltica ECM-m b.m.",ASFALTO,,,1000,,,1000,0
P01PL095,t,"Emulsión asfáltica EAM",ASFALTO,,,1000,,,1000,0
P01PL096,t,"Emulsión asfáltica EAM-m.",ASFALTO,,,1000,,,1000,0
P01PL100,t,"Emulsión asfáltica ERP",ASFALTO,,,1000,,,1000,0
P01PL110,t,"Emulsión termoadherente",ASFALTO,,,1000,,,1000,0
P01PL130,kg,"Emulsión asfáltica ECR-0",ASFALTO,,,1,,,1,0
P01PL150,kg,"Emulsión asfáltica ECR-1",ASFALTO,,,1,,,1,0
P01PL151,kg,"Emulsión asfáltica ECR-2",ASFALTO,,,1,,,1,0
P01PL152,kg,"Emulsión asfáltica ECR-3",ASFALTO,,,1,,,1,0
P01PL155,kg,"Emulsión asfáltica ECR-1 m",ASFALTO,,,1,,,1,0
P01PL156,kg,"Emulsión asfáltica ECR-2 m",ASFALTO,,,1,,,1,0
P01PL157,kg,"Emulsión asfáltica ECR-3 m",ASFALTO,,,1,,,1,0
P01PL160,kg,"Emulsión asfáltica ECL-1",ASFALTO,,,1,,,1,0
P01PL161,kg,"Emulsión asfáltica ECL-2",ASFALTO,,,1,,,1,0
P01PL162,kg,"Emulsión asfáltica ECL-2 slurry",ASFALTO,,,1,,,1,0
P01PL166,kg,"Emulsión asfáltica ECL-2m b.m.",ASFALTO,,,1,,,1,0
P01PL170,kg,"Emulsión asfáltica ECI",ASFALTO,,,1,,,1,0
P01PL190,kg,"Emulsión asfáltica ECM",ASFALTO,,,1,,,1,0
P01PL195,kg,"Emulsión asfáltica ECM m.",ASFALTO,,,1,,,1,0
P01PL200,kg,"Emulsión asfáltica ERP riego p.",ASFALTO,,,1,,,1,0
P01PL210,kg,"Emulsion ECR-1 termoadherente",ASFALTO,,,1,,,1,0
P01R,,"CONSERVACION CARRETERAS",,,,,,,0,0
P01RD,,"MATERIALES DE DRENAJE",,,,,,,0,0
P01RD020,u,"Pate de propileno de 25x31 cm","POLIPROPILENO 25% FIBRA DE VIDRIO",ACERO,,"0,12","0,393",,"0,513",0
P01RD030,u,"Anillo pref. h. h=1m D=0,80m","HORMIGON EN MASA",,,"43,228416",,,"43,228416",0
P01RD040,u,"Tapa registro fundición D=60 cm","HIERRO FUNDIDO",,,27,,,27,0
P01RD100,m,"Bordillo pref. hormigon 28x17cm","HORMIGON EN MASA",,,"102,34",,,"102,34",0
P01RD110,m,"Bordillo pref. hormigon 22x20cm","HORMIGON EN MASA",,,"94,6",,,"94,6",0
P01RF,,"MATERIALES DE AFIRMADO",,,,,,,0,0
P01RF020,kg,"Mástic BM con elastómeros",,,,1,,,1,0
P01RF030,kg,"Fibras acrilicas para M.B.C.",ACRILICOS,,,1,,,1,0
P01RF040,kg,"Aditivo de rotura lechadas bituminosa",,,,1,,,1,0
P01RF050,kg,"Colorante sintetico para M.B.C.",,,,1,,,1,0
P01RF100,t,"Suelo-cemento excluido cemento","TIERRA CRUDA",,,1000,,,1000,0
P01RF110,t,"Suelo-cemento incluido  cemento","TIERRA CRUDA","CEMENTO GRIS",,900,100,,1000,0
P01RF120,t,"Grava-cemento excluido  cemento","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01RF130,t,"Grava-cemento incluido  cemento","ARENA Y GRAVA NATURAL","CEMENTO GRIS",,900,100,,1000,0
P01RF200,t,"Árido A 3/6 tratamientos superf.","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01RF210,t,"Árido A 6/12 tratamientos superf.","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01RF220,t,"Árido A 12/18 tratamientos superf.","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01RF230,t,"Árido para lechada bituminosa","ARENA Y GRAVA NATURAL",,,1000,,,1000,0
P01RF240,t,"M.B.F. AF-12 o AF-20 en planta","ASFALTO ARENOSO",,,1000,,,1000,0
P01RF250,t,"M.B.C. AC-22 G o AC-32 G en planta","ASFALTO ARENOSO",,,1000,,,1000,0
P01RF251,t,"M.B.C. AC-16 S o AC-22 S en planta","ASFALTO ARENOSO",,,1000,,,1000,0
P01RF252,t,"M.B.C. AC-16 D o AC-22 D en planta","ASFALTO ARENOSO",,,1000,,,1000,0
P01RF253,t,"M.B.C. drenante en planta","ASFALTO ARENOSO",,,1000,,,1000,0
P01RF254,t,"M.B.C. microaglomerado en planta","ASFALTO ARENOSO",,,1000,,,1000,0
P01RF260,t,"Mezcla bituminosa M8","ASFALTO ARENOSO",,,1000,,,1000,0
P01RS,,"MATERIALES SEÑALIZACION Y BALIZAMIENTO",,,,,,,0,0
P01RS010,kg,"Termoplasticos aplicac. caliente",,,,1,,,1,0
P01RS020,kg,"Pintura plastica(dos componentes)",,,,1,,,1,0
P01RS030,u,"Hito de vértice rígido tipo H-75",,,,,,,0,0
P01RS035,u,"Base para hito H-75 arista",,,,,,,0,0
P01RS040,u,"Baliza divergente tipo N-180 nivel 2",,,,,,,0,0
P01RS050,m,"Poste tubular 120x55 mm de acero",ACERO,,,"224,0887572",,,"224,0887572",0
P01RS055,u,"Conector C-132 acero galvanizado","ACERO GALVANIZADO",,,,,,0,0
P01RS060,u,"Pieza espec. terminacion barrera",,,,,,,0,0
P01RS065,u,"Terminal cola de pez",,,,,,,0,0
P01RS070,u,"Captafaro  2 caras para barrera",,,,,,,0,0
P01RS075,u,"Captafaro una cara en pavimento",,,,,,,0,0
P01RS080,kg,"Adhesivo captafaros dos componentes",,,,1,,,1,0
P01RS100,u,"Cartel obras modelo oficial",,,,,,,0,0
P01RV,,"MATERIALES DE VIALIDAD",,,,,,,0,0
P01RV005,t,"Fundente cloruro sódico cisterna",,,,1000,,,1000,0
P01RV010,t,"Fundente cloruro sódico",,,,1000,,,1000,0
P01RV020,t,"Fundente cloruro cálcico",,,,1000,,,1000,0
